"","Details","MRP_Rs","SellPrice_Rs","Discount_Percent","SellingDate","Quantity"
"84","wide leg fit ankle length cotton womens jeans - blue",1695,1525,10,2022-10-16,7
"85","printed jersey round neck womens t-shirt - red",699,349,50,2022-09-27,9
"86","solid square neck polyester womens woven top - natural",999,499,50,2022-07-26,7
"87","solid v-neck tencel womens a-line dress - light blue",1699,849,50,2022-10-24,9
"88","printed cotton round neck womens t-shirt - brown",1299,399,69,2022-07-22,7
"89","regular fit regular length cotton lycra womens jeans - mid stone",999,499,50,2022-06-27,9
"90","textured polyester round neck womens straight top - natural",1399,839,40,2022-08-19,7
"91","printed stylized polyester womens fit and flare dress - grey",2499,1499,40,2022-08-02,7
"92","solid polyester regular neck womens top - sage",1299,649,50,2022-06-11,7
"93","lace cotton collar neck womens top - red",2499,1499,40,2022-09-30,7
"94","regular fit regular length cotton blend womens jeans - white",1299,649,50,2022-09-04,8
"95","printed square neck polyester womens regular dress - pink",1699,849,50,2022-06-29,9
"96","solid polyester v neck womens shirt - white",1699,999,41,2022-06-26,7
"97","self design viscose square neck womens top - white",2299,1379,40,2022-10-04,8
"98","printed blended round neck womens shift dress - navy",1499,749,50,2022-09-28,8
"99","solid collar neck polyester womens casual shirt - green",1699,849,50,2022-09-14,9
"100","printed cotton lycra round neck womens t-shirt - sage",699,349,50,2022-07-10,8
"101","embroidered cotton square neck womens regular dress - white",2600,2080,20,2022-09-24,8
"102","printed cotton blend round neck womens t-shirt - black",999,499,50,2022-07-19,8
"103","floral rayon v neck womens strappy dress - pista green",1499,749,50,2022-11-05,7
"104","baggy fit ankle length cotton womens jeans - light blue",1595,1116,30,2022-07-16,8
"105","printed cotton lycra round neck womens t-shirt - blue",699,349,50,2022-09-05,7
"106","solid polyester blend round neck womens a-line dress - pink",1899,949,50,2022-10-08,8
"107","solid polyester v neck womens top - blush",1699,1189,30,2022-10-16,7
"108","super skinny fit ankle length cotton blend womens jeans - dark blue",1895,947,50,2022-07-10,9
"109","skinny fit full length cotton blend womens jeans - navy",1895,947,50,2022-08-08,7
"110","printed regular neck cotton womens formal shirt - white",899,449,50,2022-10-13,7
"111","regular fit regular length denim womens jeans - pink",1999,999,50,2022-06-15,9
"112","printed cotton collar neck womens dress - blue",2899,1739,40,2022-09-30,8
"113","skinny fit regular length cotton lycra womens jeans - black",999,499,50,2022-08-04,9
"114","solid regular neck cotton blend womens formal shirt - powder blue",899,449,50,2022-07-15,9
"115","solid polyester blend ankle length womens tights - misty lilac",1299,649,50,2022-07-23,7
"116","solid cotton wide neck womens a-line dress - powder blue",1699,849,50,2022-07-11,9
"117","printed v-neck viscose womens fit and flare dress - black",2499,1499,40,2022-09-22,9
"118","solid regular fit polyester womens formal pants - black",1699,849,50,2022-07-19,7
"119","solid polyester v neck womens regular dress - wine",2899,2319,20,2022-06-03,8
"120","floral polyester off shoulder womens regular top - blue",999,499,50,2022-11-11,9
"121","stripes cotton round neck womens straight top - multi",1399,699,50,2022-10-04,7
"122","fit above knee denim womens casual skirt - black",1299,649,50,2022-10-25,8
"123","printed polyester round neck womens a-line dress - yellow",1999,999,50,2022-07-22,8
"124","floral polyester round neck womens flared dress - black",1999,899,55,2022-10-30,7
"125","solid polyester womens regular blouse - wine",1899,949,50,2022-10-26,8
"126","printed polyester blend round neck womens regular top - yellow",999,499,50,2022-07-31,8
"127","embroidered viscose mandarin womens top - blue",2199,1319,40,2022-07-16,9
"128","solid regular neck cotton stretch womens formal shirt - bottle green",999,499,50,2022-11-06,7
"129","half sleeves regular fit womens casual dress - navy",1999,899,55,2022-08-07,7
"130","printed polyester womens regular dress - red",2799,1959,30,2022-07-14,9
"131","solid polyester round neck womens top - navy",1499,899,40,2022-09-01,8
"132","solid collar neck cotton blend womens regular top - peach",999,499,50,2022-07-01,7
"133","solid viscose collar neck womens top - peach",2290,1603,30,2022-08-07,8
"134","printed regular neck cotton womens formal shirt - black",799,399,50,2022-07-24,7
"135","printed cotton round neck womens t-shirt - green",799,479,40,2022-08-06,8
"136","floral rayon collar neck womens casual shirt - yellow",1599,799,50,2022-10-28,7
"137","floral georgette round neck womens flared dress - grey",1899,854,55,2022-07-29,9
"138","super slim fit regular cotton womens jeans - navy",2199,999,55,2022-07-18,7
"139","printed cotton lycra round neck womens t-shirt - blue",699,349,50,2022-06-23,7
"140","solid polyester blend round neck womens a-line dress - black",1699,764,55,2022-09-16,9
"141","striped cotton blend collar neck womens t-shirt - blue",799,399,50,2022-10-04,7
"142","textured polyester blend regular fit womens trousers - maroon",2199,999,55,2022-06-16,8
"143","solid cotton round neck womens regular top - off white",1199,599,50,2022-08-24,7
"144","regular fit regular length cotton lycra womens jeans - black",1299,649,50,2022-10-21,9
"145","solid polyester collar neck womens formal shirt - off white",1699,999,41,2022-09-25,7
"146","floral polyester round neck womens regular top - multi",1299,584,55,2022-09-08,8
"147","solid polyester blend round neck womens t-shirt - black",999,499,50,2022-08-13,7
"148","stripes polyester round neck womens t-shirt - blue",1799,1079,40,2022-08-08,8
"149","graphic cotton round neck womens regular fit t-shirt - yellow",499,199,60,2022-07-22,7
"150","solid boat neck polyester womens straight dresses - multi",2499,1999,20,2022-08-14,8
"151","stripes polyester round neck womens regular top - navy",1199,539,55,2022-08-07,8
"152","solid polyester blend round neck womens t-shirt - dusty pink",999,499,50,2022-06-24,7
"153","solid polyester blend regular fit womens trousers - pink",1499,799,47,2022-11-02,8
"154","solid polyester round neck womens top - white",1599,959,40,2022-07-11,8
"155","printed v-neck viscose womens woven top - pink",999,499,50,2022-07-30,7
"156","regular fit regular length denim womens jeans - charcoal",1999,999,50,2022-11-06,7
"157","solid square neck polyester womens woven top - olive",999,499,50,2022-06-07,9
"158","wide leg fit ankle length cotton womens jeans - dark blue",1795,1256,30,2022-07-07,8
"159","solid cotton round neck womens regular top - mauve",1499,899,40,2022-09-07,7
"160","printed viscose collar neck womens shirt - white",899,449,50,2022-07-06,8
"161","printed jersey round neck womens t-shirt - off white",699,349,50,2022-09-25,8
"162","regular fit regular length cotton blend womens joggers - blue",1299,649,50,2022-06-15,9
"163","baggy fit ankle length cotton womens jeans - blue",1695,847,50,2022-07-16,9
"164","printed polyester boat neck womens top - navy",1799,1079,40,2022-11-07,7
"165","embroidered viscose blend round neck womens t-shirt - pink",899,449,50,2022-08-10,9
"166","printed viscose collar neck womens a-line dress - yellow",1599,799,50,2022-07-10,8
"167","floral georgette round neck womens dress - blue",2400,1920,20,2022-09-14,8
"168","solid polyester choker neck womens regular top - black",1299,584,55,2022-09-09,8
"169","floral polyester round neck womens regular top - multi",1399,559,60,2022-08-18,9
"170","regular fit regular length cotton lycra womens jeans - black",999,499,50,2022-08-09,7
"171","solid cotton round neck womens top - lavender",1899,1139,40,2022-11-03,8
"172","checks round neck cotton womens a-line dress - multi",2799,1399,50,2022-08-15,9
"173","solid regular neck cotton blend womens formal shirt - pink",899,449,50,2022-07-28,7
"174","solid viscose womens cropped top - pink",1799,1079,40,2022-07-27,8
"175","printed viscose wide neck womens a-line dress - sage",1499,749,50,2022-11-07,9
"176","embroidered blended round neck womens top - natural",1199,599,50,2022-06-04,7
"177","printed v neck polyester womens regular fit dresses - peach",2699,1889,30,2022-09-08,8
"178","solid polyester mandarin womens regular top - green",1299,519,60,2022-08-04,9
"179","dyed rayon blend womens casual wear shrug - peach",1399,699,50,2022-09-24,8
"180","solid denim collar neck womens denim jacket - mid stone",1899,949,50,2022-11-13,8
"181","solid crepe tie up neck�womens regular top - grey",1399,559,60,2022-08-04,7
"182","floral polyester round neck womens short dress - blue",2199,1319,40,2022-08-21,8
"183","solid crepe round neck womens regular top - maroon",1099,549,50,2022-08-26,8
"184","printed round neck rayon womens fit and flare dress - red",2499,1499,40,2022-08-08,9
"185","regular fit regular length cotton lycra womens jeans - dk indigo",999,499,50,2022-07-16,9
"186","solid crepe round neck womens regular top - maroon",999,499,50,2022-10-10,9
"187","floral crepe round neck womens flared dress - cream",1599,719,55,2022-11-13,8
"188","womens viscose collar checks shirts - orange",899,449,50,2022-09-02,8
"189","solid modal round neck womens regular top - mustard",1499,599,60,2022-06-08,8
"190","textured polyester round neck womens jacket - navy",3499,1499,57,2022-10-19,9
"191","printed jersey round neck womens t-shirt - blue",699,349,50,2022-08-25,9
"192","solid polyester boat neck womens regular top - maroon",1499,599,60,2022-06-18,9
"193","solid viscose blend round neck womens t-shirt - orange",699,349,50,2022-10-05,8
"194","printed regular neck chambray womens formal shirt - blue",899,449,50,2022-10-08,7
"195","solid georgette square neck womens regular top - mint",1699,849,50,2022-08-30,7
"196","floral georgette round neck womens flared dress - black",1899,854,55,2022-06-10,9
"197","solid polyester blend sweetheart neck womens bodycon dress - green",2399,1079,55,2022-09-09,9
"198","textured polyester boat neck womens dress - black",2699,1619,40,2022-06-10,8
"199","solid polyester womens regular dress - purple",2399,1199,50,2022-08-22,8
"200","solid regular fit cotton womens trousers - grey",1899,1139,40,2022-07-14,8
"201","womens regular fit solid tie up neck peplum top - red",1198,359,70,2022-06-26,9
"202","solid comfort fit polyester womens casual wear trousers - brown",1899,854,55,2022-08-10,9
"203","printed round neck polyester womens regular top - black",1199,599,50,2022-06-25,9
"204","floral print polyster womens dress - royal blue",2699,1619,40,2022-09-12,9
"205","solid cotton collar neck womens top - rose",1799,899,50,2022-08-17,8
"206","printed viscose v-neck womens regular top - black",899,449,50,2022-07-15,7
"207","striped regular fit blended womens sports tights - black",1799,899,50,2022-08-30,7
"208","checks cold shoulder polyester womens calf length jumpsuits - black",2099,839,60,2022-09-07,8
"209","floral viscose v neck womens dress - green",2799,1679,40,2022-10-01,9
"210","regular fit regular length cotton lycra womens jeans - black",1699,849,50,2022-08-14,8
"211","womens solid formal shirt - light blue",1599,959,40,2022-09-22,8
"212","solid polyester cotton round neck womens formal wear shirt - black",1599,959,40,2022-06-19,9
"213","solid regular fit cotton womens joggers - blue",1899,1139,40,2022-07-09,8
"214","solid cotton spandex round neck womens t-shirt - pink",990,693,30,2022-09-13,9
"215","solid regular neck cotton stretch womens formal shirt - black",999,499,50,2022-11-02,8
"216","printed viscose collar neck womens a-line dress - white",1599,799,50,2022-08-02,9
"217","solid crepe square neck womens dress - red",1900,1520,20,2022-07-20,8
"218","floral polyester v neck womens a-line dress - red",2099,944,55,2022-08-08,7
"219","solid cotton collar neck womens straight top - blue",1599,959,40,2022-08-27,8
"220","embellished viscose blend round neck womens t-shirt - powder blue",999,499,50,2022-06-05,8
"221","printed regular neck cotton womens formal shirt - sky blue",899,449,50,2022-10-21,8
"222","floral viscose tie up neck� womens top - green",1799,1079,40,2022-10-13,9
"223","solid viscose round neck womens regular top - off white",799,399,50,2022-07-23,9
"224","solid polyester v neck womens top - red",1699,999,41,2022-09-24,9
"225","printed viscose blend square neck womens dress - mustard",3199,1919,40,2022-08-30,9
"226","printed cotton slub round neck womens regular top - blue",899,449,50,2022-09-26,9
"227","printed georgette off shoulder womens blouson top - navy",999,499,50,2022-09-04,9
"228","floral polyester round neck womens straight top - blue",1399,839,40,2022-06-12,9
"229","checks cotton blend collar neck womens regular top - black",1299,649,50,2022-06-21,8
"230","solid cotton round neck womens t-shirt - teal",799,399,50,2022-07-20,8
"231","dyed v-neck cotton womens regular dress - maroon",2499,1249,50,2022-10-23,9
"232","regular fit regular length cotton lycra womens jeans - ice",1299,649,50,2022-07-22,7
"233","solid cotton blend wide neck womens regular top - mid stone",1299,649,50,2022-10-29,7
"234","printed jersey round neck womens t-shirt - natural",599,299,50,2022-10-25,9
"235","solid polyester blend womens regular top - peach",1499,674,55,2022-09-10,9
"236","womens cotton lycra solid capri tights - black",799,399,50,2022-09-29,7
"237","solid cotton round neck womens regular dress - pink",2890,1734,40,2022-10-13,8
"238","regular fit regular length cotton blend womens jeans - mid stone",1299,649,50,2022-07-14,7
"239","solid v-neck jersey womens t-shirt - red",599,299,50,2022-09-06,7
"240","skinny fit regular length cotton lycra womens jeans - mid stone",999,499,50,2022-08-12,7
"241","floral rayon round neck womens regular top - black",1499,599,60,2022-10-20,7
"242","floral v neck rayon womens dress - light blue",1299,649,50,2022-06-28,7
"243","embroidered cotton round neck womens regular fit t-shirt - purple",499,199,60,2022-08-14,7
"244","mom fit ankle length cotton womens jeans - black",1795,1615,10,2022-10-17,9
"245","wide fit ankle length cotton womens jeans - blue",1695,1525,10,2022-07-14,7
"246","solid polyester regular fit womens trousers - black",1999,1599,20,2022-08-15,9
"247","tie and dye polyester square neck womens dress - pink",2499,1499,40,2022-06-19,8
"248","solid polyester womens casual wear jacket - gold",2999,1499,50,2022-10-09,9
"249","heavy wash cotton slim fit womens jeans - light blue",1895,1705,10,2022-08-04,9
"250","solid polyester round neck womens dress - yellow",3499,1499,57,2022-11-13,9
"251","floral polyester round neck womens straight top - pink",1499,899,40,2022-06-28,9
"252","solid round neck polyester womens straight top - black",2699,2159,20,2022-09-06,9
"253","floral square neck polyester womens flared gown - sage",3499,2799,20,2022-08-15,9
"254","solid sweetheart neck viscose blend womens a-line dress - yellow",2499,1499,40,2022-09-14,8
"255","printed cotton lycra round neck womens t-shirt - pink",699,349,50,2022-06-20,7
"256","solid polyester v neck womens regular top - wine",1899,1519,20,2022-09-10,9
"257","embroidered viscose blend round neck womens t-shirt - white",899,449,50,2022-07-28,7
"258","printed regular neck cotton womens formal shirt - white",799,399,50,2022-07-02,8
"259","printed collar polyester womens regular top - off white",1299,649,50,2022-06-26,9
"260","printed band collar polyester womens woven top - lilac",999,499,50,2022-07-20,9
"261","solid polyester viscose round neck womens t-shirt - green",1299,779,40,2022-08-01,9
"262","solid cotton square neck womens dress - orange",2599,1559,40,2022-09-24,7
"263","floral polyester round neck womens dress - off white",2999,1799,40,2022-08-26,8
"264","printed cotton round neck womens t-shirt - black",1299,399,69,2022-11-04,9
"265","printed polyester round neck womens a-line dress - off white",1999,999,50,2022-06-09,8
"266","floral polyester off shoulder womens regular top - black",999,499,50,2022-07-13,9
"267","skinny fit ankle length cotton blend womens jeans - blue",1695,847,50,2022-10-17,8
"268","checks viscose blend round neck womens casual shirt - lime green",1599,959,40,2022-10-15,8
"269","clean look cotton wide fit womens jeans - blue",1595,1435,10,2022-07-23,9
"270","solid cotton round neck womens dress - lavender",3199,1919,40,2022-09-18,7
"271","womens regular fit solid round neck t-shirt - purple",1199,399,67,2022-07-29,8
"272","floral linen round neck womens straight dress - pink mix",3899,3119,20,2022-09-24,7
"273","solid viscose regular neck womens top - blush",999,499,50,2022-06-12,7
"274","stripes polyester v neck womens top - blush",1799,1259,30,2022-07-08,9
"275","solid polyester v neck womens regular dress - peach",2299,1149,50,2022-06-29,8
"276","solid polyester v neck womens dress - pink",2999,1799,40,2022-06-11,7
"277","polka dots sweetheart neck georgette womens mini dress - blue",1950,1560,20,2022-06-17,9
"278","solid round neck polyester womens straight top - yellow",1699,1359,20,2022-07-10,7
"279","stripes polyester boat neck womens regular top - maroon",1299,584,55,2022-07-22,9
"280","solid collar neck linen womens straight dresses - wine",3299,2639,20,2022-09-07,7
"281","printed polyester round neck womens top - yellow",1499,999,33,2022-07-20,7
"282","solid viscose blend wide neck womens t-shirt - powder blue",1299,649,50,2022-06-29,8
"283","textured cotton off shoulder womens dress - baby pink",3499,2099,40,2022-10-09,9
"284","solid viscose wide neck womens a-line dress - orange",1499,749,50,2022-07-06,9
"285","printed polyester blend regular neck womens t-shirt - purple",599,299,50,2022-09-22,7
"286","printed viscose wide neck womens regular top - light blue",1199,599,50,2022-10-08,8
"287","printed collar neck polyester womens regular top - orange",999,499,50,2022-08-18,9
"288","solid crepe v neck womens blouson top - navy",1299,584,55,2022-10-18,9
"289","solid polyester blend regular fit womens pants - grey",1899,1139,40,2022-06-25,9
"290","regular fit regular length denim womens jeans - ice",1699,849,50,2022-09-28,8
"291","solid cotton full length womens joggers - black",999,499,50,2022-09-05,8
"292","solid polyester round neck womens a-line dress - red",1499,674,55,2022-09-14,7
"293","shraddha kapoor for indya embellished hot wrap crop top - pink",1300,1040,20,2022-06-20,7
"294","printed polyester v-neck womens a-line dress - lilac",1899,949,50,2022-08-14,8
"295","printed viscose wide neck womens regular top - off white",1199,599,50,2022-09-27,8
"296","printed polyester v neck womens top - multi",1499,899,40,2022-08-17,7
"297","printed rayon round neck womens flared dress - maroon",2399,1079,55,2022-08-16,7
"298","dyed round neck polyester womens regular knit top - pink",1599,799,50,2022-06-23,9
"299","solid viscose blend round neck womens t-shirt - lilac",699,349,50,2022-10-06,9
"300","skinny fit regular length cotton lycra womens jeans - indigo",1299,649,50,2022-10-14,8
"301","checks rayon womens shift dress - green",2199,879,60,2022-06-04,7
"302","floral polyester round neck womens straight top - sage",2099,1679,20,2022-09-16,9
"303","patch work cotton regular neck womens top and shorts - lilac",1299,649,50,2022-06-15,9
"304","viscose blend collar neck womens regular top - off white",899,449,50,2022-09-02,8
"305","printed short sleeves rayon womens full length jumpsuit - mustard",2999,1799,40,2022-09-30,8
"306","light wash cotton skinny fit womens jeans - dark blue",1895,947,50,2022-07-25,8
"307","printed v neck polyester womens wrap dress - blue",2999,1499,50,2022-06-30,9
"308","skinny fit regular length cotton lycra womens jeans - black",1299,649,50,2022-09-29,8
"309","regular fit regular length viscose blend womens treggings - black mix",999,499,50,2022-07-26,8
"310","pencil fit above knee cotton blend womens casual skirt - ice blue",2199,1319,40,2022-10-27,7
"311","textured georgette square neck womens regular dress - yellow",2100,1680,20,2022-06-23,7
"312","womens regular fit solid round neck t-shirt - green",1199,399,67,2022-07-12,9
"313","printed cotton blend hood womens sweatshirt - blue",1299,649,50,2022-11-07,8
"314","solid polyester blend v neck womens dress - indigo",2699,1889,30,2022-07-17,8
"315","all over print cotton round neck womens t-shirt - blue",1999,1399,30,2022-08-21,8
"316","graphic cotton round neck womens regular fit t-shirt - peach",499,199,60,2022-10-21,8
"317","skinny ankle length cotton blend womens jeans - black",1895,1705,10,2022-10-07,8
"318","printed polyester blend regular neck womens t-shirt - old rose",799,399,50,2022-08-10,8
"319","floral polyester v neck womens flared top - black",1999,1599,20,2022-10-06,9
"320","floral polyester round neck womens a-line dress - black",1899,854,55,2022-06-28,9
"321","skinny fit regular length cotton lycra womens jeans - black",999,499,50,2022-10-05,9
"322","printed polyester mandarin womens top - blue",1699,1019,40,2022-09-14,7
"323","regular fit calf length crepe womens casual skirt - navy",1699,764,55,2022-09-30,9
"324","skinny fit ankle length cottonwomens jeans - light blue",1999,599,70,2022-07-19,8
"325","solid cotton peter pan collar womens casual shirt - blue",2499,1499,40,2022-10-13,7
"326","regular fit full length viscose womens casual skirt - off white",1899,1139,40,2022-06-06,7
"327","floral polyester square neck womens dress - green",2699,1619,40,2022-06-26,7
"328","textured crepe round neck womens midi dress - blue",2800,2240,20,2022-10-23,8
"329","floral v neck rayon womens dress - mauve",1299,649,50,2022-08-27,9
"330","solid cotton regular womens t-shirt - purple",1799,899,50,2022-09-24,7
"331","solid polyester blend round neck womens t-shirt - olive",999,499,50,2022-06-20,9
"332","solid regular fit polyester womens casual wear trousers - mustard",1899,759,60,2022-08-22,7
"333","regular fit regular length cotton lycra womens jeans - indigo",999,499,50,2022-07-02,9
"334","checks tie up neck cotton womens casual shirt - white",1699,1019,40,2022-06-27,7
"335","solid polyester regular fit womens jacket - maroon",4499,2499,44,2022-10-14,7
"336","floral polyester v neck womens dress - pink",3299,1979,40,2022-06-19,9
"337","solid viscose blend round neck womens straight top - yellow",1599,959,40,2022-09-25,9
"338","solid polyester round neck womens regular top - peach",1299,519,60,2022-06-28,8
"339","solid regular fit polyester womens casual trousers - brown",1999,599,70,2022-06-25,7
"340","dyed round neck cotton womens regular dress - peach",2499,1249,50,2022-08-06,8
"341","solid polyester round neck womens a-line dress - black",1999,899,55,2022-09-14,8
"342","embroidered cotton blend wide neck womens t-shirt - white",1199,599,50,2022-09-27,8
"343","solid cotton blend round neck womens top - navy",999,599,40,2022-07-16,9
"344","solid sleeveless polyester womens jumpsuit - navy",2799,1679,40,2022-07-01,8
"345","printed viscose v neck womens top - print",3600,2340,35,2022-11-01,7
"346","embroidered cotton square neck womens regular top - white",1600,1280,20,2022-08-21,8
"347","stripes polyester v neck womens top - blue",1799,1259,30,2022-06-02,7
"348","embroidered cotton blend wide neck womens t-shirt - orange",1199,599,50,2022-11-01,7
"349","solid cotton blend round neck womens shirts - natural",1799,1259,30,2022-08-29,7
"350","stripes skinny fit woven polyster womens trousers - mint",2699,1619,40,2022-10-26,9
"351","solid cotton blend collar neck womens regular top - indigo",1299,649,50,2022-06-01,7
"352","printed sleeveless georgette womens regular length jumpsuit - purple",2300,1840,20,2022-06-03,8
"353","printed polyester wide neck womens regular top - teal",1199,599,50,2022-09-03,7
"354","solid nr roma regular neck womens regular dress - black",1999,999,50,2022-10-04,7
"355","regular fit regular length nr roma womens treggings - black",1299,649,50,2022-10-24,7
"356","lace polyester round neck womens dress - pink",2799,1679,40,2022-08-09,7
"357","baggy fit ankle length cotton womens jeans - blue",2095,1466,30,2022-10-25,9
"358","solid round neck polyester womens flared gown - pink mix",4299,3439,20,2022-06-03,7
"359","solid satin cowl neck womens sheath dress - blue",3790,2084,45,2022-07-07,7
"360","solid viscose round neck womens regular top - off white",1299,649,50,2022-09-23,8
"361","skinny fit ankle length denim womens jeans - black",1499,749,50,2022-06-05,8
"362","textured cotton round neck womens top - off white",1499,1049,30,2022-10-17,9
"363","solid polyester mandarin womens casual shirt - white",1499,899,40,2022-07-05,8
